cartodb_id;address_id;the_geom;the_geom_webmercator;code;status;postalcode;street;housenr;housenrext;city;rooms;price;priceext;sale_type;type;area;lotsize;volume;yearofconstruction;listedsince;dateofsale;broker
2994691;NULL;NULL;NULL;40575475;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;495000;v.o.n.;VK;NULL;167;308;NULL;NULL;NULL;NULL;Woonvast Makelaars
2985961;NULL;NULL;NULL;40575545;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;515000;v.o.n.;VK;NULL;167;261;NULL;NULL;NULL;NULL;Woonvast Makelaars
3962496;NULL;NULL;NULL;40575585;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;498000;v.o.n.;VK;NULL;170;254;NULL;NULL;NULL;NULL;Woonvast Makelaars
2953734;NULL;NULL;NULL;40575586;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;498000;v.o.n.;VK;NULL;170;253;NULL;NULL;NULL;NULL;Woonvast Makelaars
3760685;NULL;NULL;NULL;40575640;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;439000;v.o.n.;VK;NULL;158;176;NULL;NULL;NULL;NULL;Woonvast Makelaars
2949285;NULL;NULL;NULL;40575641;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;439000;v.o.n.;VK;NULL;152;176;NULL;NULL;NULL;NULL;Woonvast Makelaars
2953730;NULL;NULL;NULL;40575642;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;515000;v.o.n.;VK;NULL;167;261;NULL;NULL;NULL;NULL;Woonvast Makelaars
3762043;NULL;NULL;NULL;40575653;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;493000;v.o.n.;VK;NULL;167;265;NULL;NULL;NULL;NULL;Woonvast Makelaars
3966899;NULL;NULL;NULL;40575782;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;4;615000;v.o.n.;VK;NULL;169;262;NULL;NULL;2016-11-29;NULL;Woonvast Makelaars
727955;0307200000383258;010100002040710000EC51B81E5DC60241713D0AD7FE361C41;0101000020110F000037B52DEEF53D22411A548DE2080B5A41;40578989;Verkocht;3818KA;Prins Frederiklaan;21;a;Amersfoort;3;585000;k.k.;VK;1;130;NULL;NULL;NULL;2016-11-29;NULL;Telman & Van Leeuwen Makelaars
